[1/144] Ferguson, United States (Q954855)... OK
[2/144] Abingdon, United Kingdom (Q321381)... searching... QID already correct (validation may be too strict)
[3/144] Northern California Preparatory School, United States (no qid) SKIP
[4/144] Washington Square, United States (Q7972205)... OK
[5/144] Derby, United Kingdom (Q43475)... OK
[6/144] United Nations Headquarters, United States (Q11297)... searching... QID already correct (validation may be too strict)
[7/144] Awaji Shima, Japan (Q504373)... searching... QID already correct (validation may be too strict)
[8/144] Amman, Jordan (Q3805)... OK
[9/144] Parliament, United Kingdom (Q62408)... searching... FIXED Q62408 -> Q11010
[10/144] Atlanta, United States (Q23556)... OK
[11/144] Lancaster, United States (Q320514)... OK
[12/144] Rikers Island, United States (Q120119)... OK
[13/144] Southend-on-Sea, United Kingdom (Q203995)... OK
[14/144] Orkney, South Africa (Q1788096)... OK
[15/144] London, United Kingdom (Q84)... OK
[16/144] Bardarbunga, Iceland (Q1018862)... searching... QID already correct (validation may be too strict)
[17/144] Guam Island, Guam (Q16635)... searching... NOT FOUND
[18/144] Cherrystone, United States (Q5092544)... OK
[19/144] Las Vegas, United States (Q23768)... OK
[20/144] Calgary, Canada (Q36312)... OK
[21/144] Oregon Trail, United States (no qid) SKIP
[22/144] Flagstaff, United States (Q79842)... OK
[23/144] Sunbury-on-Thames, United Kingdom (Q2194010)... OK
[24/144] Mansfield, United States (Q974040)... OK
[25/144] Kensington Gardens, United Kingdom (no qid) SKIP
[26/144] Accra, Ghana (Q3761)... OK
[27/144] Raleigh, United States (Q41087)... OK
[28/144] Luzon, Philippines (Q125384)... OK
[29/144] Dallas, United States (Q16557)... OK
[30/144] Petaling Jaya, Malaysia (Q864965)... OK
[31/144] Aleppo, Syria (Q41183)... OK
[32/144] Gustine Gun Club, United States (no qid) SKIP
[33/144] Richmond, United States (Q495377)... OK
[34/144] Huntington Beach High School, United States (no qid) SKIP
[35/144] Bo, Sierra Leone (Q844878)... OK
[36/144] Baghdad, Iraq (Q1530)... OK
[37/144] Springville, United States (Q80023)... OK
[38/144] Shady Grove Adventist Hospital, United States (Q3145253)... searching... QID already correct (validation may be too strict)
[39/144] Phoenix, United States (Q16556)... OK
[40/144] Dublin, United States (Q988937)... OK
[41/144] Los Angeles, United States (Q65)... OK
[42/144] Baltimore, United States (Q5092)... OK
[43/144] Chapman Highway Shopping Center, United States (no qid) SKIP
[44/144] Doha, Qatar (Q3861)... OK
[45/144] Harrow, United Kingdom (Q210476)... searching... FIXED Q210476 -> Q1247373
[46/144] Toronto, Canada (Q172)... OK
[47/144] Columbia, United States (Q59670)... OK
[48/144] Northeast Grave, United States (Q49664235)... OK
[49/144] Abuja, Nigeria (Q3787)... OK
[50/144] Myakka River State Park, United States (Q2815107)... OK
[51/144] Washington, D.C., United States (Q61)... OK
[52/144] Harrow, United Kingdom (Q54961)... OK
[53/144] Crosley Field (historical), United States (Q3003747)... searching... NOT FOUND
[54/144] Jos, Nigeria (Q321079)... OK
[55/144] Moore, United States (Q917458)... OK
[56/144] Kingsport, United States (Q241814)... OK
[57/144] Manchester, United Kingdom (Q18125)... OK
[58/144] Newcastle, Australia (Q820325)... searching... FIXED Q820325 -> Q57278
[59/144] Gaza, Palestine (Q47492)... searching... QID already correct (validation may be too strict)
[60/144] Sacred Heart Hospital on the Emerald Coast, United States (no qid) SKIP
[61/144] San Francisco, United States (Q62)... OK
[62/144] Memphis, United States (Q16563)... OK
[63/144] McCarren Park, United States (Q6800173)... OK
[64/144] Guiyang, China (Q192271)... OK
[65/144] Wichita, United States (Q49266)... OK
[66/144] Sierra Vista Municipal Libby Army Air Field, United States (Q7511619)... searching... QID already correct (validation may be too strict)
[67/144] Freetown, Sierra Leone (Q3780)... OK
[68/144] Halifax, Canada (Q3246744)... OK
[69/144] Disneyland, United States (Q181185)... OK
[70/144] Seattle-Tacoma International Airport, United States (Q14295)... searching... QID already correct (validation may be too strict)
[71/144] Edgewater, United States (Q178035)... OK
[72/144] Eau Claire, United States (Q122563)... OK
[73/144] Midland, United States (Q128321)... OK
[74/144] Rohtak, India (Q967388)... searching... FIXED Q967388 -> Q1453180
[75/144] Chicago, United States (Q1297)... OK
[76/144] Wau, South Sudan (Q276534)... OK
[77/144] Bristol, United Kingdom (Q23154)... OK
[78/144] Christchurch, New Zealand (Q79990)... OK
[79/144] Carrollton, United States (Q1852070)... OK
[80/144] Mosul, Iraq (Q83317)... OK
[81/144] Biola University, United States (Q864450)... OK
[82/144] Clayton, United States (Q966922)... OK
[83/144] University of Alabama, United States (no qid) SKIP
[84/144] Cape Charles, United States (Q1376790)... OK
[85/144] Karachi, Pakistan (Q8660)... OK
[86/144] Batu Tiga, Malaysia (Q31764734)... OK
[87/144] Moscow, Russia (Q649)... OK
[88/144] Marble Church, United Kingdom (no qid) SKIP
[89/144] Pasadena, United States (Q485176)... OK
[90/144] Lincoln Tunnel, United States (Q125805)... searching... QID already correct (validation may be too strict)
[91/144] Hamtramck, United States (Q1013717)... OK
[92/144] Mexico City, Mexico (Q1489)... OK
[93/144] Joplin, United States (Q317865)... OK
[94/144] Donetsk International Airport, Ukraine (Q1431229)... OK
[95/144] Flint, United States (Q490584)... OK
[96/144] Trilokpuri, India (no qid) SKIP
[97/144] Torremolinos, Spain (Q24012560)... OK
[98/144] The Hague, Netherlands (Q36600)... OK
[99/144] San Diego, United States (Q16552)... OK
[100/144] Tel Aviv, Israel (Q33935)... OK
[101/144] The Geysers, United States (Q3109025)... OK
[102/144] Gilroy, United States (Q837097)... OK
[103/144] New Madrid, United States (Q963427)... OK
[104/144] Grantham,  (Q846683)... OK
[105/144] St. Louis, United States (Q38022)... OK
[106/144] Mumbai, India (Q1156)... OK
[107/144] Nottingham, United Kingdom (Q41262)... OK
[108/144] University of Georgia, United States (Q761534)... OK
[109/144] Cardiff, United Kingdom (Q10690)... OK
[110/144] Toledo, United States (Q49239)... OK
[111/144] Luton, United Kingdom (Q203889)... OK
[112/144] Miami, United States (Q8652)... OK
[113/144] Queenstown, South Africa (Q610600)... OK
[114/144] Waldo Canyon, United States (no qid) SKIP
[115/144] American Canyon, United States (Q463679)... OK
[116/144] Kota Bharu, Malaysia (Q651131)... OK
[117/144] Kuala Lumpur, Malaysia (Q1865)... OK
[118/144] Johannesburg, South Africa (Q34647)... OK
[119/144] Emory, United States (no qid) SKIP
[120/144] Dublin, Ireland (Q1761)... OK
[121/144] Harlem, United States (Q189074)... OK
[122/144] Nashville, United States (Q23197)... OK
[123/144] City of Westminster, United Kingdom (Q189960)... searching... FIXED Q189960 -> Q179351
[124/144] Isle of Dogs, United Kingdom (Q124295)... OK
[125/144] Damascus, Syria (Q3766)... OK
[126/144] Donetsk, Ukraine (Q43070)... OK
[127/144] Northwest Mississippi Junior College, United States (no qid) SKIP
[128/144] Columbia, United States (Q38453)... OK
[129/144] Grand River, United States (Q5595036)... OK
[130/144] Ashford, United Kingdom (Q725261)... OK
[131/144] Manhattan, United States (Q11299)... OK
[132/144] Bloedrivier, South Africa (no qid) SKIP
[133/144] Lagos, Nigeria (Q8673)... OK
[134/144] Windsor, United States (Q1012003)... OK
[135/144] Moscow Kremlin, Russia (Q133274)... searching... QID already correct (validation may be too strict)
[136/144] River Thames, United Kingdom (Q19686)... OK
[137/144] Lowell, United States (Q49162)... OK
[138/144] Morioka, Japan (Q200077)... OK
[139/144] Boston, United States (Q100)... OK
[140/144] Liverpool, United Kingdom (Q24826)... OK
[141/144] Rome, Italy (Q220)... OK
[142/144] Vaught-Hemingway Stadium, United States (Q3555083)... searching... QID already correct (validation may be too strict)
[143/144] Westboro Baptist Church, United States (Q692942)... OK
[144/144] Cancún, Mexico (Q8969)... searching... QID already correct (validation may be too strict)

============================================================
Done: 5 fixed, 2 not found, 123 already correct, 14 skipped (no qid)
Output written to src/geocorpora_144.csv
