config,dataset,n,exact_pct,country_pct,continent_pct,acc_161km_pct,no_result_pct
two_stage,clean_sm,144,34.0,49.3,53.5,47.9,27.1
two_stage,clean_journ,72,38.9,50.0,56.9,50.0,2.8
two_stage,noisy_sm,144,22.2,35.4,43.1,34.7,16.7
two_stage,geocorpora,144,18.1,70.8,78.5,52.8,7.6
refined,clean_sm,144,46.5,53.5,56.2,52.8,38.2
refined,clean_journ,72,52.8,59.7,63.9,61.1,15.3
refined,noisy_sm,144,36.8,41.7,49.3,40.3,20.8
refined,geocorpora,144,52.1,76.4,81.2,65.3,14.6
gemma,clean_sm,144,42.4,72.9,82.6,52.8,1.4
gemma,clean_journ,72,48.6,76.4,80.6,61.1,2.8
gemma,noisy_sm,144,38.2,62.5,80.6,48.6,14.6
gemma,geocorpora,144,37.5,81.2,87.5,50.0,5.6
groq_llama,clean_sm,144,33.3,66.7,75.0,48.6,11.1
groq_llama,clean_journ,72,44.4,70.8,77.8,52.8,8.3
groq_llama,noisy_sm,144,32.6,64.6,78.5,44.4,8.3
groq_llama,geocorpora,144,37.5,82.6,91.0,47.2,5.6
groq_oss,clean_sm,144,48.6,72.9,79.2,58.3,8.3
groq_oss,clean_journ,72,58.3,80.6,84.7,65.3,6.9
groq_oss,noisy_sm,144,43.8,70.8,81.9,52.1,5.6
groq_oss,geocorpora,144,31.2,79.9,88.2,41.0,4.9
refined_search,clean_sm,144,48.6,56.9,61.8,56.2,27.1
refined_search,clean_journ,72,52.8,61.1,63.9,61.1,8.3
refined_search,noisy_sm,144,37.5,43.1,50.7,41.7,16.0
refined_search,geocorpora,144,52.1,77.8,85.4,66.0,8.3
refined_gemma,clean_sm,144,53.5,75.7,85.4,61.1,1.4
refined_gemma,clean_journ,72,51.4,69.4,84.7,59.7,16.7
refined_gemma,noisy_sm,144,40.3,52.8,64.6,47.2,0.7
refined_gemma,geocorpora,144,50.0,86.8,93.1,63.2,1.4
