signal_type,config,n,exact_pct,country_pct,continent_pct,acc_161km_pct,no_result_pct
A,two_stage,72,45.8,58.3,61.1,56.9,16.7
A,refined,72,48.6,66.7,69.4,66.7,23.6
A,gemma,72,61.1,91.7,97.2,76.4,1.4
A,groq_llama,72,48.6,81.9,87.5,66.7,12.5
A,groq_oss,72,63.9,88.9,93.1,73.6,5.6
A,refined_search,72,47.2,66.7,69.4,66.7,20.8
A,refined_gemma,72,48.6,77.8,97.2,62.5,15.3
B,two_stage,72,36.1,58.3,68.1,58.3,4.2
B,refined,72,73.6,75.0,76.4,75.0,18.1
B,gemma,72,43.1,72.2,76.4,52.8,1.4
B,groq_llama,72,37.5,73.6,77.8,48.6,1.4
B,groq_oss,72,41.7,75.0,80.6,54.2,2.8
B,refined_search,72,76.4,77.8,81.9,77.8,6.9
B,refined_gemma,72,79.2,83.3,86.1,80.6,1.4
C,two_stage,72,25.0,31.9,34.7,30.6,36.1
C,refined,72,23.6,25.0,30.6,25.0,50.0
C,gemma,72,29.2,58.3,72.2,37.5,2.8
C,groq_llama,72,25.0,48.6,62.5,34.7,16.7
C,groq_oss,72,50.0,62.5,69.4,54.2,15.3
C,refined_search,72,26.4,30.6,36.1,29.2,34.7
C,refined_gemma,72,30.6,59.7,72.2,38.9,2.8
