signal_type,config,n,exact_pct,country_pct,continent_pct,acc_161km_pct,no_result_pct
A,two_stage,24,45.8,54.2,62.5,54.2,0.0
A,refined,24,41.7,62.5,66.7,62.5,20.8
A,gemma,24,66.7,100.0,100.0,91.7,0.0
A,groq_llama,24,62.5,95.8,95.8,79.2,4.2
A,groq_oss,24,66.7,91.7,95.8,79.2,4.2
A,refined_search,24,37.5,58.3,62.5,58.3,20.8
A,refined_gemma,24,29.2,58.3,100.0,50.0,41.7
B,two_stage,24,37.5,58.3,66.7,58.3,0.0
B,refined,24,83.3,83.3,83.3,83.3,8.3
B,gemma,24,45.8,70.8,75.0,54.2,0.0
B,groq_llama,24,37.5,70.8,75.0,45.8,0.0
B,groq_oss,24,45.8,75.0,79.2,54.2,4.2
B,refined_search,24,83.3,83.3,83.3,83.3,0.0
B,refined_gemma,24,87.5,87.5,87.5,87.5,0.0
C,two_stage,24,33.3,37.5,41.7,37.5,8.3
C,refined,24,33.3,33.3,41.7,37.5,16.7
C,gemma,24,33.3,58.3,66.7,37.5,8.3
C,groq_llama,24,33.3,45.8,62.5,33.3,20.8
C,groq_oss,24,62.5,75.0,79.2,62.5,12.5
C,refined_search,24,37.5,41.7,45.8,41.7,4.2
C,refined_gemma,24,37.5,62.5,66.7,41.7,8.3
