signal_type,config,n,exact_pct,country_pct,continent_pct,acc_161km_pct,no_result_pct
A,two_stage,48,45.8,60.4,60.4,58.3,25.0
A,refined,48,52.1,68.8,70.8,68.8,25.0
A,gemma,48,58.3,87.5,95.8,68.8,2.1
A,groq_llama,48,41.7,75.0,83.3,60.4,16.7
A,groq_oss,48,62.5,87.5,91.7,70.8,6.2
A,refined_search,48,52.1,70.8,72.9,70.8,20.8
A,refined_gemma,48,58.3,87.5,95.8,68.8,2.1
B,two_stage,48,35.4,58.3,68.8,58.3,6.2
B,refined,48,68.8,70.8,72.9,70.8,22.9
B,gemma,48,41.7,72.9,77.1,52.1,2.1
B,groq_llama,48,37.5,75.0,79.2,50.0,2.1
B,groq_oss,48,39.6,75.0,81.2,54.2,2.1
B,refined_search,48,72.9,75.0,81.2,75.0,10.4
B,refined_gemma,48,75.0,81.2,85.4,77.1,2.1
C,two_stage,48,20.8,29.2,31.2,27.1,50.0
C,refined,48,18.8,20.8,25.0,18.8,66.7
C,gemma,48,27.1,58.3,75.0,37.5,0.0
C,groq_llama,48,20.8,50.0,62.5,35.4,14.6
C,groq_oss,48,43.8,56.2,64.6,50.0,16.7
C,refined_search,48,20.8,25.0,31.2,22.9,50.0
C,refined_gemma,48,27.1,58.3,75.0,37.5,0.0
