signal_type,config,n,exact_pct,country_pct,continent_pct,acc_161km_pct,no_result_pct
A,two_stage,48,20.8,27.1,33.3,25.0,8.3
A,refined,48,33.3,43.8,47.9,41.7,8.3
A,gemma,48,50.0,75.0,87.5,60.4,0.0
A,groq_llama,48,41.7,70.8,83.3,56.2,10.4
A,groq_oss,48,54.2,81.2,91.7,64.6,4.2
A,refined_search,48,31.2,43.8,47.9,41.7,4.2
A,refined_gemma,48,35.4,45.8,56.2,41.7,0.0
B,two_stage,48,29.2,52.1,64.6,54.2,4.2
B,refined,48,60.4,62.5,68.8,62.5,10.4
B,gemma,48,41.7,77.1,81.2,54.2,0.0
B,groq_llama,48,33.3,70.8,83.3,47.9,10.4
B,groq_oss,48,41.7,72.9,81.2,54.2,8.3
B,refined_search,48,64.6,66.7,72.9,66.7,8.3
B,refined_gemma,48,62.5,68.8,72.9,68.8,0.0
C,two_stage,48,16.7,27.1,31.2,25.0,37.5
C,refined,48,16.7,18.8,31.2,16.7,43.8
C,gemma,48,22.9,35.4,72.9,31.2,43.8
C,groq_llama,48,22.9,52.1,68.8,29.2,4.2
C,groq_oss,48,35.4,58.3,72.9,37.5,4.2
C,refined_search,48,16.7,18.8,31.2,16.7,35.4
C,refined_gemma,48,22.9,43.8,64.6,31.2,2.1
