feature_id,tweet_id_str,tweet_text,tweet_created_at,tweet_user_location,tweet_user_timezone,tweet_coordinates_latitude,tweet_coordinates_longitude,tweet_placeid,char_position,text,geoNameId,toponym,country_code,longitude,latitude,surrogate_geojson,uncertain_semantics,vague,overlapping_ambiguous,non_overlapping_ambiguous,not_in_geonames,is_specific,is_corrupt,text_corrupt,qid
19,499073560959549440,RT @TheAnonMessage: RAW VIDEO: Intense scenes from today's protests and the subsequent violence by police #Ferguson http://t.co/2xi7choHJY,Tue Aug 12 06:03:03 +0000 2014,"Richmond,VA, USA",,,,,107.0,Ferguson,4386387,Ferguson,US,-90.30539,38.74422,,,,,,,True,False,False,Q954855
27,515414104916652034,RT @fireabingdon: Busy morning out in #Abingdon today. Fire safety talk to the lovely women of the #WI @ Northcourt road comm. centre. http…,Fri Sep 26 08:14:33 +0000 2014,,,,,,39.0,Abingdon,2657780,Abingdon,GB,-1.28278,51.67109,,,,,,,True,False,False,Q321381
50,496371470722150400,BACK TO THE FUTURE ARTIST SHOWCASE | AUG. 24th @ FIRE &amp; ICE! 312 MARKET ST. 5pm - 10pm! Tickets $10 &amp; $15 at the door! ? BE HERE!!,Mon Aug 04 19:05:55 +0000 2014,PHILLY,Quito,,,,61.0,312 MARKET ST,4562050,Washington Square,US,-75.15268,39.94706,,,,,,True,True,False,False,Q7972205
59,560573163097321473,RT @Nffcfamily: They say the Earthquake  hit derby and Improved it no end.,Wed Jan 28 23:00:31 +0000 2015,UK,,,,,45.0,derby,2651347,Derby,GB,-1.47663,52.92277,,,,,,,True,False,False,Q43475
70,513965477404479489,RT @4FreedominIran: #Iran resistance to protest at the United Nations | http://t.co/yl7lv9Id6S #no2Rouhani #NYC #NewYork #IranTalksNYC @sta…,Mon Sep 22 08:18:13 +0000 2014,,,,,,55.0,United Nations,5141947,United Nations Headquarters,US,-73.96792,40.74955,,,,,,,True,False,False,Q11297
91,556284895513673728,"It's been 20 years since the Hanshin-Awaji Earthquake!
a happening that must not be forgotten! http://t.co/MFO6McpGm1",Sat Jan 17 03:00:29 +0000 2015,??,Taipei,,,,37.0,Awaji,1864898,Awaji Shima,JP,134.8288,34.3884,,,,,,,True,False,False,Q504373
99,523156595367477248,"RT @jordantimes: Muslims and Christians march in #Amman on Saturday to protest against the violence in #Iraq, #Gaza and the region http://t…",Fri Oct 17 17:00:26 +0000 2014,CA; Jordan ,Pacific Time (US & Canada),,,,50.0,Amman,250441,Amman,JO,35.94503,31.95522,,,,,,,True,False,False,Q3805
127,530767688399069184,"A ‘vision to eradicate malaria’ - #LordSpeaker, B D’Souza, on @BillGates lecture in the Lords on Monday 10 Nov http://t.co/Q370xfIuZx",Fri Nov 07 17:04:12 +0000 2014,"London, United Kingdom",London,,,,88.0,Lords,6930645,Parliament,GB,-0.12478,51.49955,,,,,,,True,False,False,Q62408
130,495737183085424641,Ebola patient walks into hospital: The first American Ebola patient arrives in Atlanta where he will be treated. http://t.co/VoXKIAG8PR,Sun Aug 03 01:05:29 +0000 2014,"Santo Domingo , El Almirante",Chennai,,,,79.0,Atlanta,4180439,Atlanta,US,-84.38798,33.749,,,,,,,True,False,False,Q23556
136,547859448035672064,Will they protest the killing of police? - LancasterOnline http://t.co/HYITJTIF14,Wed Dec 24 21:00:45 +0000 2014,,Beijing,,,,43.0,Lancaster,5197079,Lancaster,US,-76.30551,40.03788,,True,,,,,True,False,False,Q320514
